index,name,regular_price,regular_price_str,discount_price,discount_price_str,final_price,has_discount,scraped_at,url
16,DeLonghi Coffee Care Kit (DLSC306),69.0,69₾,69.0,69₾,69.0,True,2025-10-07 12:46:44,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
17,DeLonghi Delonghi EC685.M Dedica,799.0,799₾,559.0,559₾,559.0,True,2025-10-07 12:46:53,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
18,DeLonghi DLSC301 6BICC-CAPPUCCINO 190ML DL,149.0,149₾,149.0,149₾,149.0,True,2025-10-07 12:47:08,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
19,DeLonghi Dedica Duo EC890.M,849.0,849₾,599.0,599₾,599.0,True,2025-10-07 12:47:18,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
20,DeLonghi Magnifica S (ECAM22.114.B),1699.0,1699₾,1189.0,1189₾,1189.0,True,2025-10-07 12:47:27,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
21,DeLonghi PrimaDonna Aromatic (ECAM630.55.SSM),4999.0,4999₾,3499.0,3499₾,3499.0,True,2025-10-07 12:47:36,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
22,DeLonghi PrimaDonna Aromatic (ECAM630.55.SM),4999.0,4999₾,3499.0,3499₾,3499.0,True,2025-10-07 12:47:45,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
23,DeLonghi LatteCrema Cool Upgrade Set (DLSC032),199.0,199₾,199.0,199₾,199.0,True,2025-10-07 12:48:00,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
24,DeLonghi IdealFry FH2101/1.W,719.0,719₾,719.0,719₾,719.0,True,2025-10-07 12:48:16,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
25,Delonghi CTJ2103.BK,299.0,299₾,209.0,209₾,209.0,True,2025-10-07 12:48:25,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
26,DeLonghi DLSC200 EcoDecalk Eco-Friendly Universal Descaling Solution,29.0,29₾,29.0,29₾,29.0,True,2025-10-07 12:48:40,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
27,DeLonghi Magnifica S Smart (ECAM250.33.TB),1999.0,1999₾,1399.0,1399₾,1399.0,True,2025-10-07 12:48:50,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
28,DeLonghi Magnifica Evo ECAM290.61.B,2099.0,2099₾,1469.0,1469₾,1469.0,True,2025-10-07 12:48:59,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
29,DeLonghi ECAM610.55.SB,4099.0,4099₾,2869.0,2869₾,2869.0,True,2025-10-07 12:49:08,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
